ID,Category,FileMaker Behavior,FMWeb Status,Gap Description,Complexity,Risk,Suggested Approach,Acceptance Criteria,Test Strategy,Evidence
BM-011,Browse Mode / Views,"List view supports stable row selection, keyboard navigation, and optional inline edit.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/api/admin/metrics/route.ts, app/api/admin/metrics/route.ts and align behavior with expected FileMaker semantics.","List view supports stable row selection, keyboard navigation, and optional inline edit.",List row select + keyboard up/down tests with selection sync.,app/api/admin/metrics/route.ts:4; app/api/admin/metrics/route.ts:20; src/lib/list-table-runtime.ts:1; src/lib/list-table-runtime.ts:2; src/lib/list-table-runtime.ts:8; src/lib/list-table-runtime.ts:9
BM-012,Browse Mode / Views,Table columns support reorder/resize/hide and header sort behavior with persistence.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/server/view-config-storage.ts, src/server/view-config-storage.ts and align behavior with expected FileMaker semantics.",Table columns support reorder/resize/hide and header sort behavior with persistence.,Column config persistence and header sort toggle tests.,src/server/view-config-storage.ts:1; src/server/view-config-storage.ts:6; src/server/view-config-storage.ts:16; src/server/view-config-storage.ts:59; src/server/view-config-storage.ts:63; src/server/view-config-storage.ts:104
BM-013,Browse Mode / Views,"Preview mode is read-only, shows print-like output, and supports record navigation.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in docs/preview-mode.md, docs/preview-mode.md and align behavior with expected FileMaker semantics.","Preview mode is read-only, shows print-like output, and supports record navigation.",Browse->Preview->Browse state-preservation tests and preview snapshot checks.,docs/preview-mode.md:1; docs/preview-mode.md:1; docs/preview-mode.md:4; docs/preview-mode.md:5; docs/preview-mode.md:6; docs/preview-mode.md:8
BM-014,Browse Mode / Controls,Value list controls present consistent stored/display values in browse and find criteria contexts.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/api/workspaces/[workspaceId]/developer-tools/route.ts, app/api/workspaces/[workspaceId]/manage-value-lists/route.ts and align behavior with expected FileMaker semantics.",Value list controls present consistent stored/display values in browse and find criteria contexts.,Dropdown/radio/checkbox tests for display/stored mapping and find criteria.,app/api/workspaces/[workspaceId]/developer-tools/route.ts:134; app/api/workspaces/[workspaceId]/manage-value-lists/route.ts:60; app/api/workspaces/[workspaceId]/manage-value-lists/route.ts:86; app/api/workspaces/[workspaceId]/manage-value-lists/route.ts:104; app/api/workspaces/[workspaceId]/manage-value-lists/route.ts:116; src/lib/value-list-cache.ts:1
BM-015,Browse Mode / Controls,Date controls show calendar icon when enabled and allow date picking in portal and non-portal contexts.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/globals.css, app/globals.css and align behavior with expected FileMaker semantics.",Date controls show calendar icon when enabled and allow date picking in portal and non-portal contexts.,Visual and interaction tests for include-icon flag across view contexts.,app/globals.css:1; app/globals.css:845; app/globals.css:858; app/globals.css:862; app/globals.css:866; app/globals.css:870
BM-016,Browse Mode / Controls,Container fields expose insert/export/clipboard actions with permission-aware states.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/container-runtime.ts, src/lib/container-runtime.ts and align behavior with expected FileMaker semantics.",Container fields expose insert/export/clipboard actions with permission-aware states.,Container menu action tests for insert/export with mock and filemaker sources.,src/lib/container-runtime.ts:1; src/lib/container-runtime.ts:1; src/lib/container-runtime.ts:3; src/lib/container-runtime.ts:5; src/lib/container-runtime.ts:6; src/lib/container-runtime.ts:10
BM-017,Browse Mode / Runtime,Status area exposes key record/find/sort/view actions relevant to active mode.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in docs/status-menubar-parity.md, docs/status-menubar-parity.md and align behavior with expected FileMaker semantics.",Status area exposes key record/find/sort/view actions relevant to active mode.,Mode-specific status toolbar action tests with capability gating.,docs/status-menubar-parity.md:1; docs/status-menubar-parity.md:1; docs/status-menubar-parity.md:5; docs/status-menubar-parity.md:6; docs/status-menubar-parity.md:18; docs/status-menubar-parity.md:26
BM-018,Browse Mode / Runtime,Menubar displays expected command groups and keyboard shortcuts execute supported commands.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/api/workspaces/[workspaceId]/developer-tools/route.ts, app/api/workspaces/[workspaceId]/developer-tools/route.ts and align behavior with expected FileMaker semantics.",Menubar displays expected command groups and keyboard shortcuts execute supported commands.,Menu command and shortcut dispatch tests by mode and role.,app/api/workspaces/[workspaceId]/developer-tools/route.ts:48; app/api/workspaces/[workspaceId]/developer-tools/route.ts:213; app/api/workspaces/[workspaceId]/developer-tools/route.ts:231; app/api/workspaces/[workspaceId]/developer-tools/route.ts:566; app/api/workspaces/[workspaceId]/developer-tools/route.ts:570; app/globals.css:13
BM-019,Browse Mode / Runtime,Users can switch among workspaces/files/windows with stable context and no stale entries.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/server/workspace-context.ts, src/server/workspace-context.ts and align behavior with expected FileMaker semantics.",Users can switch among workspaces/files/windows with stable context and no stale entries.,Window menu list hygiene tests and workspace switch route tests.,src/server/workspace-context.ts:1; src/server/workspace-context.ts:5; src/server/workspace-context.ts:7; src/server/workspace-context.ts:20; src/server/workspace-context.ts:28; src/server/workspace-context.ts:31
BM-020,Browse Mode / Runtime,Runtime failures show actionable guidance while preserving debug details for developers.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in components/app-layer-error-banner.tsx, components/app-layer-error-banner.tsx and align behavior with expected FileMaker semantics.",Runtime failures show actionable guidance while preserving debug details for developers.,Error rendering tests for known Data API failures and guidance mapping.,components/app-layer-error-banner.tsx:1; components/app-layer-error-banner.tsx:3; components/app-layer-error-banner.tsx:5; components/app-layer-error-banner.tsx:6; components/app-layer-error-banner.tsx:9; components/app-layer-error-banner.tsx:11
DR-001,Data & Relational / TO Context,Field references resolve via current TO or explicit TO::Field with deterministic fallback.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/runtime-kernel/context-stack.ts, src/lib/runtime-kernel/context-stack.ts and align behavior with expected FileMaker semantics.",Field references resolve via current TO or explicit TO::Field with deterministic fallback.,Context stack tests for explicit and implicit TO field references.,src/lib/runtime-kernel/context-stack.ts:1; src/lib/runtime-kernel/context-stack.ts:1; src/lib/runtime-kernel/context-stack.ts:3; src/lib/runtime-kernel/context-stack.ts:5; src/lib/runtime-kernel/context-stack.ts:9; src/lib/runtime-kernel/context-stack.ts:10
DR-002,Data & Relational / Relationships,Cross-file relationships route reads/writes to correct database and layout context.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/server/filemaker-client.ts, src/server/filemaker-client.ts and align behavior with expected FileMaker semantics.",Cross-file relationships route reads/writes to correct database and layout context.,Workspace-multifile integration tests for cross-file field and portal actions.,src/server/filemaker-client.ts:1; src/server/filemaker-client.ts:17; src/server/filemaker-client.ts:19; src/server/filemaker-client.ts:20; src/server/filemaker-client.ts:21; src/server/workspace-multifile.ts:1
DR-003,Data & Relational / Relationships,Runtime can map each TO to writable layout context for Data API operations.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/server/workspace-context.ts, src/server/workspace-context.ts and align behavior with expected FileMaker semantics.",Runtime can map each TO to writable layout context for Data API operations.,Routing tests for missing and resolved apiLayoutsByTableOccurrence mappings.,src/server/workspace-context.ts:1; src/server/workspace-context.ts:31; src/server/workspace-context.ts:35; src/server/workspace-context.ts:40; src/server/workspace-context.ts:43; src/server/workspace-multifile.ts:1
DR-004,Data & Relational / Found Sets,Large found sets support stable paging and current-record index semantics.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/list-table-runtime.ts, src/lib/runtime-kernel/foundset-store.ts and align behavior with expected FileMaker semantics.",Large found sets support stable paging and current-record index semantics.,"Found set store tests for goto index, refresh, and page transitions.",src/lib/list-table-runtime.ts:1; src/lib/runtime-kernel/foundset-store.ts:1; src/lib/runtime-kernel/foundset-store.ts:1; src/lib/runtime-kernel/foundset-store.ts:3; src/lib/runtime-kernel/foundset-store.ts:5; src/lib/runtime-kernel/foundset-store.ts:6
DR-005,Data & Relational / Found Sets,Sort and grouping specs drive grouped rows and summary outputs in list/table/preview.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/sort-reporting.ts, src/lib/sort-reporting.ts and align behavior with expected FileMaker semantics.",Sort and grouping specs drive grouped rows and summary outputs in list/table/preview.,Sort reporting tests for summary rows and grouped output stability.,src/lib/sort-reporting.ts:1; src/lib/sort-reporting.ts:2; src/lib/sort-reporting.ts:4; src/lib/sort-reporting.ts:5; src/lib/sort-reporting.ts:6; src/lib/summary-engine.ts:1
DR-006,Data & Relational / Portals,Portal rows render placed field objects and preserve control styles.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/portal-runtime.ts, src/lib/portal-runtime.ts and align behavior with expected FileMaker semantics.",Portal rows render placed field objects and preserve control styles.,Portal render tests ensuring no fallback grid overlays when template children exist.,src/lib/portal-runtime.ts:1; src/lib/portal-runtime.ts:1; src/lib/portal-runtime.ts:3; src/lib/portal-runtime.ts:4; src/lib/portal-runtime.ts:5; src/lib/portal-runtime.ts:6
DR-007,Data & Relational / Portals,Active row state and row delete actions obey portal setup and privileges.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in docs/filemaker-regression-matrix.md, docs/filemaker-regression-matrix.md and align behavior with expected FileMaker semantics.",Active row state and row delete actions obey portal setup and privileges.,Portal active-row selection and delete action tests with allow-delete toggles.,docs/filemaker-regression-matrix.md:25; docs/filemaker-regression-matrix.md:147; docs/phase-3-plan.md:13; docs/phase-4-plan.md:111; docs/portals.md:18; src/lib/portal-runtime.ts:1
DR-008,Data & Relational / Portals,"When relationship allows creation, bottom portal placeholder row can create related records.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/portal-utils.ts, src/lib/portal-utils.ts and align behavior with expected FileMaker semantics.","When relationship allows creation, bottom portal placeholder row can create related records.",Portal placeholder row create tests with allow-create true/false fixtures.,src/lib/portal-utils.ts:1; src/lib/portal-utils.ts:1; src/lib/portal-utils.ts:3; src/lib/portal-utils.ts:5; src/lib/portal-utils.ts:9; src/lib/portal-utils.ts:18
DR-009,Data & Relational / Portals,Portal field writes resolve to correct related record id/mod id across parent navigation.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/api/fm/container/upload/route.ts, app/api/fm/container/upload/route.ts and align behavior with expected FileMaker semantics.",Portal field writes resolve to correct related record id/mod id across parent navigation.,Portal save regression tests across multiple parent records.,app/api/fm/container/upload/route.ts:23; app/api/fm/container/upload/route.ts:33; app/api/fm/container/upload/route.ts:34; app/api/fm/container/upload/route.ts:46; src/lib/portal-runtime.ts:1; src/lib/portal-runtime.ts:29
DR-010,Data & Relational / Portals,Alternate row shading only appears when configured; active row state is explicit.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/portal-runtime.ts, src/lib/portal-runtime.ts and align behavior with expected FileMaker semantics.",Alternate row shading only appears when configured; active row state is explicit.,Row visual state tests for alternate and active flags combinations.,src/lib/portal-runtime.ts:1; src/lib/portal-runtime.ts:6; src/lib/portal-runtime.ts:7; src/lib/portal-runtime.ts:9; src/lib/portal-runtime.ts:13; src/lib/portal-runtime.ts:14
DR-011,Data & Relational / Repetition,Repeating fields render and commit per repetition with stable binding.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/repeating-fields.ts, src/lib/repeating-fields.ts and align behavior with expected FileMaker semantics.",Repeating fields render and commit per repetition with stable binding.,Repeating field binding tests for parse/update/commit paths.,src/lib/repeating-fields.ts:1; src/lib/repeating-fields.ts:1; src/lib/repeating-fields.ts:6; src/lib/repeating-fields.ts:15; src/lib/repeating-fields.ts:28; src/lib/repeating-fields.ts:30
DR-012,Data & Relational / Containers,Container assets can be fetched and uploaded without exposing Data API auth to browser.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/api/fm/container/route.ts, app/api/fm/container/route.ts and align behavior with expected FileMaker semantics.",Container assets can be fetched and uploaded without exposing Data API auth to browser.,Container GET/POST route tests with host validation and upload success.,app/api/fm/container/route.ts:1; app/api/fm/container/route.ts:4; app/api/fm/container/route.ts:21; app/api/fm/container/route.ts:23; app/api/fm/container/route.ts:28; app/api/fm/container/upload/route.ts:1
DR-013,Data & Relational / Import,DDR import creates normalized workspace/layout metadata ready for rendering and editing.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/api/workspaces/import/route.ts, app/api/workspaces/import/route.ts and align behavior with expected FileMaker semantics.",DDR import creates normalized workspace/layout metadata ready for rendering and editing.,"Import route tests with summary and direct DDR uploads, asserting workspace/layout artifacts.",app/api/workspaces/import/route.ts:1; app/api/workspaces/import/route.ts:6; app/api/workspaces/import/route.ts:7; app/api/workspaces/import/route.ts:13; app/api/workspaces/import/route.ts:14; scripts/import-ddr-layouts.mjs:1
DR-014,Data & Relational / Import,"Developers can snapshot, diff, and assess schema changes across versions/files.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in components/developer-tools-panel.tsx, src/lib/schemaDiff/diff.ts and align behavior with expected FileMaker semantics.","Developers can snapshot, diff, and assess schema changes across versions/files.",Dev tools tests for snapshot creation and diff result determinism.,components/developer-tools-panel.tsx:1; src/lib/schemaDiff/diff.ts:1; src/lib/schemaDiff/index.ts:1; src/lib/schemaDiff/types.ts:1; src/lib/schemaSnapshot/create.ts:1; src/lib/schemaSnapshot/index.ts:1
DR-015,Data & Relational / Import,"TO relationships can be explored visually, including cross-file edges.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in components/developer-tools-panel.tsx, components/developer-tools-panel.tsx and align behavior with expected FileMaker semantics.","TO relationships can be explored visually, including cross-file edges.",Graph builder tests and developer tools UI filter/search interactions.,components/developer-tools-panel.tsx:1; components/developer-tools-panel.tsx:30; components/developer-tools-panel.tsx:33; components/developer-tools-panel.tsx:40; components/developer-tools-panel.tsx:143; src/lib/relationshipGraph/index.ts:1
DX-001,Developer Experience / Tooling,"Developers can access schema snapshots, diffs, impacts, and migrations in one place.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/api/workspaces/[workspaceId]/developer-tools/route.ts, app/api/workspaces/[workspaceId]/developer-tools/route.ts and align behavior with expected FileMaker semantics.","Developers can access schema snapshots, diffs, impacts, and migrations in one place.",Dev tools API and panel tests for snapshot->diff->impact workflows.,app/api/workspaces/[workspaceId]/developer-tools/route.ts:1; app/api/workspaces/[workspaceId]/developer-tools/route.ts:3; app/api/workspaces/[workspaceId]/developer-tools/route.ts:4; app/api/workspaces/[workspaceId]/developer-tools/route.ts:5; app/api/workspaces/[workspaceId]/developer-tools/route.ts:6; components/developer-tools-panel.tsx:1
DX-002,Developer Experience / Tooling,Schema diffs can become ordered migration plans with safety metadata.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/migrations/apply.ts, src/lib/migrations/apply.ts and align behavior with expected FileMaker semantics.",Schema diffs can become ordered migration plans with safety metadata.,Migration generate/apply unit tests with reversible and destructive flags.,src/lib/migrations/apply.ts:1; src/lib/migrations/apply.ts:9; src/lib/migrations/apply.ts:57; src/lib/migrations/apply.ts:70; src/lib/migrations/apply.ts:82; src/lib/migrations/generate.ts:1
DX-003,Developer Experience / Tooling,Change impact reports identify broken references and affected artifacts.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/dev-tools.test.mts, src/lib/dev-tools.test.mts and align behavior with expected FileMaker semantics.",Change impact reports identify broken references and affected artifacts.,Impact analysis tests for deleted field references.,src/lib/dev-tools.test.mts:1; src/lib/dev-tools.test.mts:3; src/lib/dev-tools.test.mts:215; src/lib/dev-tools.test.mts:220; src/lib/dev-tools.test.mts:227; src/lib/impactAnalysis/index.ts:1
DX-004,Developer Experience / Tooling,Snapshots are stable and comparable across runs.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/dev-tools.test.mts, src/lib/dev-tools.test.mts and align behavior with expected FileMaker semantics.",Snapshots are stable and comparable across runs.,Snapshot normalization tests with stable ordering assertions.,src/lib/dev-tools.test.mts:1; src/lib/dev-tools.test.mts:6; src/lib/dev-tools.test.mts:7; src/lib/dev-tools.test.mts:8; src/lib/dev-tools.test.mts:10; src/lib/schemaSnapshot/normalize.ts:1
DX-005,Developer Experience / App Layer,"Manage/app-layer items are implemented, partial, or disabled with rationale and docs links.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/config/appLayerCapabilities.ts, src/config/appLayerCapabilities.ts and align behavior with expected FileMaker semantics.","Manage/app-layer items are implemented, partial, or disabled with rationale and docs links.",App-layer capability tests for enabled/disabled behavior and rationale modal.,src/config/appLayerCapabilities.ts:1; src/config/appLayerCapabilities.ts:4; src/config/appLayerCapabilities.ts:5; src/config/appLayerCapabilities.ts:6; src/config/appLayerCapabilities.ts:7; src/config/appLayerCapabilities.ts:8
DX-006,Developer Experience / App Layer,Manager screens include context selectors for multi-file workspaces.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/server/app-layer-storage.ts, src/server/app-layer-storage.ts and align behavior with expected FileMaker semantics.",Manager screens include context selectors for multi-file workspaces.,Manager screen tests for file selector state changes.,src/server/app-layer-storage.ts:1; src/server/app-layer-storage.ts:4; src/server/app-layer-storage.ts:5; src/server/app-layer-storage.ts:6; src/server/app-layer-storage.ts:7; src/server/app-layer-storage.ts:31
DX-007,Developer Experience / App Layer,Closing dirty dialogs prompts user before discarding changes.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/api/workspaces/[workspaceId]/governance/route.ts, app/api/workspaces/[workspaceId]/governance/route.ts and align behavior with expected FileMaker semantics.",Closing dirty dialogs prompts user before discarding changes.,Dialog close interception tests with dirty state.,app/api/workspaces/[workspaceId]/governance/route.ts:181; app/api/workspaces/[workspaceId]/governance/route.ts:249; app/api/workspaces/[workspaceId]/governance/route.ts:252; app/api/workspaces/[workspaceId]/governance/route.ts:253; app/api/workspaces/[workspaceId]/governance/route.ts:321; app/api/workspaces/[workspaceId]/governance/route.ts:324
DX-008,Developer Experience / Quality,Key UI flows are covered by regression tests to prevent repeated break/fix cycles.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in package.json, package.json and align behavior with expected FileMaker semantics.",Key UI flows are covered by regression tests to prevent repeated break/fix cycles.,Run test:ui-regression with portal + mode-switch + menu-action fixtures.,package.json:1; package.json:25; package.json:34; package.json:51; package.json:65; src/lib/menu-action-coverage.test.mts:1
DX-009,Developer Experience / Quality,Visual fidelity regressions are detected with screenshot baselines and metric reports.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in docs/layout-fidelity-fixtures.json, scripts/layout-fidelity.mts and align behavior with expected FileMaker semantics.",Visual fidelity regressions are detected with screenshot baselines and metric reports.,Run test:layout-fidelity and baseline update scripts with fixture manifest.,docs/layout-fidelity-fixtures.json:1; scripts/layout-fidelity.mts:1; scripts/layout-fidelity.mts:5; scripts/layout-fidelity.mts:12; scripts/layout-fidelity.mts:19; scripts/layout-fidelity.mts:142
DX-010,Developer Experience / Quality,CI outputs parity status summaries for key domains before release.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in .github/workflows/ci.yml, .github/workflows/ci.yml and align behavior with expected FileMaker semantics.",CI outputs parity status summaries for key domains before release.,CI workflow test to assert parity checklist files generated and non-empty.,.github/workflows/ci.yml:1; .github/workflows/ci.yml:1; .github/workflows/ci.yml:24; .github/workflows/ci.yml:35; .github/workflows/ci.yml:36; docs/runtime-gap-report.md:1
LM-001,Layout Mode / Selection,"Layout Mode supports precise click, shift-click, and marquee selection with deterministic selection sets.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/globals.css, app/globals.css and align behavior with expected FileMaker semantics.","Layout Mode supports precise click, shift-click, and marquee selection with deterministic selection sets.","Run pointer interaction tests for click, shift-click, marquee-add, marquee-remove across grouped and portal objects.",app/globals.css:552; app/globals.css:1390; app/globals.css:2927; app/globals.css:2936; app/globals.css:7954; src/lib/layout-arrange.ts:1
